timestamp,scrapeid,type,rank,title,source,publishedDate,timeSince,description,url,,,,,,,,
5/15/2018 10:04,0,Top Trends,7,Study: Nearly all teachers spend own money on…,14 NEWS,None,None,None,https://l.facebook.com/l.php?u=http%3A%2F%2Fwww.14news.com%2Fstory%2F38189295%2Fstudy-nearly-all-teachers-spend-own-money-on-school-needs&h=ATPuNH_xL8jR9u33ZFBlzXZAgIYDqWAqE9thUf-KaKi4Pingwz9bAouvwsjlkvZqEx45HWFVCa1YMxyqkoZje,,,,,,,,
5/15/2018 10:04,0,Top Trends,4,VIDEO: So. Indiana police escort son of fallen officer…,azfamily 3TV CBS 5,None,None,None,https://l.facebook.com/l.php?u=http%3A%2F%2Fwww.azfamily.com%2Fstory%2F38187932%2Fvideo-so-indiana-police-escort-son-of-fallen-officer-to-school&h=ATN0vuioZKFhCaMGBn5Jb7HoV75gDwstqwH1kTevSTnLvHzuFCHpQ3s8rgy6PtEZ4dH5cCpocNaJzr,,,,,,,,
5/15/2018 10:04,0,Top Trends,4,Pilot 'half sucked out of plane' survives,BBC News,None,None,None,https://l.facebook.com/l.php?u=http%3A%2F%2Fwww.bbc.com%2Fnews%2Fworld-asia-china-44121377&h=ATMglI-vFIuLpdonrfAhu7Q_QS6oV6gpb_8HtIuWvn-teUZcE4y7RW8h7dw-qIaCq3PoAypWkJNzWaL1-QZO1cAIo_ORjT26gE81uj6aWfOZOl9I3mC0gg,,,,,,,,
5/15/2018 10:04,0,Top Trends,3,The fastest-growing black hole in the universe eats a…,Business Insider,None,None,None,https://l.facebook.com/l.php?u=http%3A%2F%2Fwww.businessinsider.com%2Fastronomers-just-found-the-fastest-growing-black-hole-in-the-universe-2018-5&h=ATOTDONrffO9X2LAAu6zfxycg3enw2zREClt17iyiAPyBcEEx6pKyjhrhUMND6Yz5NXv89Og1TV6,,,,,,,,
5/15/2018 10:04,0,Top Trends,6,Hedge fund manager David Tepper to buy Carolina…,Business Insider,None,None,None,https://l.facebook.com/l.php?u=http%3A%2F%2Fwww.businessinsider.com%2Fdavid-tepper-buys-carolina-panthers-record-22-billion-2018-5&h=ATNO2LVaql3Q1zRYRbQZMOod3yzWLceNm0GKJyRp3CA496xsml8LbBeNu0o3ey0G5RgHJqtin1VfujpKdUyh1wjikAJr,,,,,,,,
5/15/2018 10:04,0,Top Trends,9,Hedge fund manager to buy Carolina Panthers for…,The Charlotte Observer,None,None,None,https://l.facebook.com/l.php?u=http%3A%2F%2Fwww.charlotteobserver.com%2Fsports%2Fnfl%2Fcarolina-panthers%2Farticle210951014.html&h=ATOzjbozt3xCF6B4_u8Gf45W438x7LlnjCpGkUI5pHfvz0tAbb2p1vkSyvGz-hlC91ymqF6e3koX5ikyI0EtmJTSnerCK8,,,,,,,,
5/15/2018 10:04,0,Top Trends,10,'Trump's America: The Truth about Our Nation's Great…,Fox News,None,None,None,https://l.facebook.com/l.php?u=http%3A%2F%2Fwww.foxnews.com%2Ftranscript%2F2018%2F05%2F15%2Ftrumps-america-truth-about-our-nations-great-comeback-by-newt-gingrich.html&h=ATOn6cqtxGqIL6OAptTzs7lAOBw4nGH7IemG6-QeaiHjSPUCY6Y8vUT,,,,,,,,
5/15/2018 10:04,0,Top Trends,3,Airline co-pilot 'sucked halfway' out cockpit…,Fox News,None,None,None,https://l.facebook.com/l.php?u=http%3A%2F%2Fwww.foxnews.com%2Ftravel%2F2018%2F05%2F15%2Fairline-co-pilot-sucked-halfway-out-cockpit-window-reports-say.html&h=ATNtKaq0bRvlhbdRaRHjAdsOYhjiL55AGGja2CntHFv-0nucFYsdEdmqboi5ycSYwon,,,,,,,,
5/15/2018 10:04,0,Top Trends,9,"A long time ago, in a galaxy far, far away...",www.heraldscotland.com,None,None,None,https://l.facebook.com/l.php?u=http%3A%2F%2Fwww.heraldscotland.com%2Fnews%2F16226313.A_long_time_ago__in_a_galaxy_far__far_away___%2F&h=ATP576f6jcl1ko4DVyqLE2HWOunPxxAeIxW0GE6kpK7O8I2mhfVrZBN1TukAEYYtkayCjohCqPYjS3C5fNUytI_GZ,,,,,,,,
5/15/2018 10:04,0,Top Trends,4,Teachers shelling out nearly $500 a year on school…,InForum,None,None,None,https://l.facebook.com/l.php?u=http%3A%2F%2Fwww.inforum.com%2Fnews%2Feducation%2F4446037-teachers-shelling-out-nearly-500-year-school-supplies-report-finds&h=ATN5uMFGlP4Cy93rr8qZQ3go_zKFCaOVvSGukuD_QZNq3qIHnM_4Ns0ymdF3MGZa6G8,,,,,,,,
