type,title,description,source,uniquelink,rank,scrapeid,timestamp
Top Trends,Ben Carson,HUD Floats a Plan Intended to Reduce Dependence on Housing…,nytimes.com,https://www.facebook.com/topic/Ben-Carson/107825632579338?source=whfrt&position=1&trqid=6548668182773477171&impressionguid=0xhUhE0xNBmMMLk79,1,0,Thu Apr 26 03:17:16 2018
Top Trends,Ford Motor Company,"Ford announces $1.7B quarterly profit, deep cuts to car lineup",freep.com,https://www.facebook.com/topic/Ford-Motor-Company/109378242415264?source=whfrt&position=2&trqid=6548668182773477171&impressionguid=0xhUhE0xNBmMMLk79,2,0,Thu Apr 26 03:17:16 2018
Top Trends,Indiana Pacers vs. Cleveland Cavaliers,LeBron James Nails Buzzer-Beater to Stun Pacers in Game 5,bleacherreport.com,https://www.facebook.com/topic/Indiana-Pacers-vs-Cleveland-Cavaliers/103781356327286?source=whfrt&position=3&trqid=6548668182773477171&impressionguid=0xhUhE0xNBmMMLk79,3,0,Thu Apr 26 03:17:16 2018
Top Trends,Ronny Jackson,Report details new allegations against Ronny Jackson,cbsnews.com,https://www.facebook.com/topic/Ronny-Jackson/112957978719119?source=whrt&position=4&trqid=6548668191550238970&impressionguid=0xhUhE0xNBmMMLk79,4,0,Thu Apr 26 03:17:16 2018
Top Trends,Michael Cohen,Michael Cohen to Take Fifth Amendment in Stormy Daniels Lawsuit,nytimes.com,https://www.facebook.com/topic/Michael-Cohen/110797148971088?source=whrt&position=5&trqid=6548668191550238970&impressionguid=0xhUhE0xNBmMMLk79,5,0,Thu Apr 26 03:17:16 2018
Top Trends,Punggye-ri Nuclear Test Site,N Korea nuclear test site 'collapsed',bbc.com,https://www.facebook.com/topic/Punggye-ri-Nuclear-Test-Site/104103069627496?source=whrt&position=6&trqid=6548668191550238970&impressionguid=0xhUhE0xNBmMMLk79,6,0,Thu Apr 26 03:17:16 2018
Top Trends,George H.W. Bush,"Former President Bush out of intensive care, making progress",msn.com,https://www.facebook.com/topic/George-HW-Bush/112502138762388?source=whrt&position=7&trqid=6548668191550238970&impressionguid=0xhUhE0xNBmMMLk79,7,0,Thu Apr 26 03:17:16 2018
Top Trends,Golden State Killer,Golden State Killer case: Ex-cop Joseph James DeAngelo arrested,cbsnews.com,https://www.facebook.com/topic/Golden-State-Killer/109513509075288?source=whrt&position=8&trqid=6548668191550238970&impressionguid=0xhUhE0xNBmMMLk79,8,0,Thu Apr 26 03:17:16 2018
Top Trends,Facebook,Facebook Escapes Recent Data Privacy Scandals with Big Profit Gain,fortune.com,https://www.facebook.com/topic/Facebook/384442694939148?source=whrt&position=9&trqid=6548668191550238970&impressionguid=0xhUhE0xNBmMMLk79,9,0,Thu Apr 26 03:17:16 2018
Top Trends,"Costa da Morte, Spain","For female Trump lookalike, crops mean more than social media fame",chicagotribune.com,https://www.facebook.com/topic/Costa-da-Morte-Spain/115413541807868?source=whrt&position=10&trqid=6548668191550238970&impressionguid=0xhUhE0xNBmMMLk79,10,0,Thu Apr 26 03:17:16 2018
