CNNMoney
WGN TV
ESPN
Reuters
6abc Action News
The Bangor Daily News
Bleacher Report
WPMT FOX43
News 12 Long Island
FOX8
NBC Sports
TechCrunch
The Hill
TIME
WGNO - News With A Twist
14 NEWS
azfamily 3TV CBS 5
BBC News
Business Insider
The Charlotte Observer
Fox News
www.heraldscotland.com
InForum
Region 8 News
KCBD NewsChannel 11
KSLA News 12
KOTV - News On 6
Newsweek
NJ.com
www.thisisinsider.com
WTHI-TV
Yahoo News
Indiatimes
Mashable
phys.org
Bloomberg
www.brisbanetimes.com.au
CBS News
CBS Sports
CNBC
CNET
CNN
www.eveningexpress.co.uk
Fast Company
www.gizmodo.com.au
HuffPost
The Independent
www.japantimes.co.jp
Daily Mirror
MSN
The New York Times
PCWorld
Portland Press Herald
RealClearPolitics
Recode
Smithsonian Magazine
The Epoch Times
The Guardian
The Verge
Washington Post
WFAA
WSOC-TV
Yahoo
Daily Telegraph
www.edweek.org
Engadget
NBC Chicago
NBC News
WIRED
Fortune
Daily Mail
People
WJAC-TV News
Breitbart
Centre Daily Times
Omaha World-Herald
ABC News
Yahoo Finance
Al Jazeera English
azcentral
The Boston Globe
The Denver Post
Forbes
NBC Connecticut
NDTV
Newsday
NPR
Philadelphia Magazine
POLITICO
Salon
The Telegraph
USA TODAY
Vox
The Wall Street Journal
Fox Business
Yahoo Canada
9to5Mac.com
I fucking love science
Miami Herald
appleinsider.com
Ars Technica
inews.co.uk
lovinmanchester.com
medicalxpress.com
Autoblog
www.belfastlive.co.uk
Digital Trends
www.kqed.org
LiveScience
MacRumors
Manchester Evening News
www.moneysavingexpert.com
www.news-mail.com.au
www.sciencedaily.com
www.sciencenews.org
www.statnews.com
The Atlantic
The Sun
The Mercury News
The Scientist
The Daily Beast
Metro
FOX Sports
Goal Indonesia
NBA
www.beinsports.com
Chicago Tribune
www.espn.co.uk
www.football365.com
www.livesoccertv.com
Sky Sports
Sporting News
www.teamtalk.com
www.tribalfootball.com
WEEI Sports Radio Network
247sports.com
clutchpoints.com
english.manoramaonline.com
Global News
NESN
Scroll
Yahoo Sports
ABC15 Arizona
BBC Sport
Daily Record
www.eurosport.co.uk
GiveMeSport
www.joe.co.uk
Milwaukee Journal Sentinel
www.liverpoolecho.co.uk
Liverpool FC
Mirror Football
NHL
London Evening Standard
theScore
talksport.com
Las Vegas Review-Journal
IGN
ComicBook.com
Entertainment Weekly
New York Post
signup.freebies.com
Variety
The Baltimore Sun
www.catchnews.com
JoBlo.com
WKYT
heroichollywood.com
Gizmodo
MovieWeb
The A.V. Club
Pitchfork
rolltide.com
www.burnleyexpress.net
E! News
Daily Express
The Hollywood Reporter
HuffPost Canada
Life & Style Weekly
www.popsugar.com
www.screendaily.com
www.shieldsgazette.com
www.snapchat.com
The Toronto Star
Time Out London
Today Show
Vanity Fair
twinning.popsugar.com
Eurogamer
bearingarms.com
ABC7
Deadline Hollywood
Indian Express
Ultimate Classic Rock
www.bgr.in
Complex
/Film
WIRED UK
BuzzFeed
Financial Times
www.gizbot.com
GSMArena.com
Guitar World
www.phonearena.com
SlashGear
SPIN
Stars and Stripes
TechRadar
www.zerohedge.com
taskandpurpose.com
Android Authority
CBC Sports
CTV News
VICE
www.comingsoon.net
Page Six
TVLine
Den Of Geek UK
Vulture
www.flickeringmyth.com
GameSpot
www.jambase.com
Rolling Stone
The Irish Times
MLive.com
The Daily Caller
FOX 17
New York Magazine
Ottawa Citizen
THE WEEK
ABC 7 News - WJLA
Adweek
KALB News Channel 5
KCTV5 News Kansas City
Ocala StarBanner
www.uppermichiganssource.com
WAFB Channel 9
WITN-TV
NewsOne
TheGrio
AlterNet
Detroit Free Press
The Root
7 Eyewitness News WKBW
"Newschannel 3, CBS News, WWMT, West Michigan"
KTRE-TV
WKBN 27 Youngstown OH
AOL
Hindustan Times
sports.mynorthwest.com
7News - WHDH Boston
Fox 35 WOFL
SB Nation
The Seattle Times
Talking Points Memo
WDTN-TV
The Columbus Dispatch
WRCB Channel 3 Eyewitness News
WWLP-22News
www.consumeraffairs.com
13 On Your Side
www.fox25boston.com
speedsociety.com
www.bollywoodlife.com
The Dallas Morning News
WMTW-TV
abc3340.com
Pittsburgh Post-Gazette
Wichita Eagle
WIBW
WIS-TV
9NEWS (KUSA)
al.com
www.campusreform.org
The Post and Courier
ottawasun.com
Tampa Bay Times
The State Newspaper
LJWorld.com
crimewatchdaily.com
The Times of India
KENS 5 & Kens5.com
WPTV
10News WTSP
KOAT
FOX 12 Oregon
Deadspin
GeekTyrant
Screen Rant
AJC
KHOU 11 News
KSDK News
NOLA.com
"The Advocate (Baton Rouge, LA)"
The San Diego Union-Tribune
FOX6 News Milwaukee
WVUE FOX 8 News
KPLC 7 News
Los Angeles Times
Radio Times
WDSU News
WFMJ
www.13wmaz.com
Anchorage Daily News
Bustle
Inverse
The Washington Times
WebMD
WWLTV
www.dailywire.com
KMBC 9
Washington Examiner
WHO TV Channel 13 News
KXXV Central Texas News Now
NBC15 Madison
10TV - WBNS
www.irishexaminer.com
FOX31 KDVR.com
ABC30 Action News
KTLA 5 News
The Sacramento Bee
syracuse.com
thefilmstage.com
theplaylist.net
ComicBookMovie.com
Highsnobiety
NBC Bay Area
SFGATE
The Salt Lake Tribune
www.thelondoneconomic.com
KGAN CBS 2
KWWL
LifeNews.com
The Gazette
The Des Moines Register
LifeSiteNews.com
www.aclu.org
"WSMV News 4, Nashville"
Fox 13 News
KATU News
KRNV News 4
The Kansas City Star
KTVN Channel 2 News
KXAN News
St. Louis Post-Dispatch
WLOX-TV
article.wn.com
The Virginian-Pilot
Billboard
Corpus Christi Caller-Times
MarketWatch
Tennessean
"WGRZ - Channel 2, Buffalo"
atlantablackstar.com
CBS7 News / KOSA-TV
Hawaii News Now
WMC Action News 5
news360.com
Slate.com
Townhall.com
www.centralmaine.com
KVUE
blogs.edweek.org
junkee.com
WLOS ABC 13
The Gaston Gazette
The Times-News
Boing Boing
Hot Air
National Geographic
Asheville Citizen Times
CommonDreams
The World
WNEP-TV
PennLive.com
Reading Eagle
WFMZ
The Edmonton Sun
Toronto Sun
LNP + LancasterOnline
The Incline
Public Opinion
The York Dispatch
Ledger-Enquirer
York Daily Record/Sunday News
cleveland.com
Boston.com
ABC
The Oregonian
KOIN 6
StateCollege.com
KGW-TV
Popular Science
Roll Call
Statesman Journal
Us Weekly
The Register-Guard
Idaho Statesman
KHQ Local News
Willamette Week
Idaho State Journal
nativenewsonline.net
Idaho Press-Tribune
www.kivitv.com
KTVB
Mic
National Post
Fox Carolina News
East Idaho News.com
www.wtol.com
www.dailypost.co.uk
philly.com
Lebanon Daily News
exclaim.ca
thatgrapejuice.net
www.rap-up.com
djbooth.net
www.greaterkashmir.com
Herald Sun
news.com.au
The West Australian
www.9news.com.au
The FADER
The Jerusalem Post / JPost.com
www.middleeastmonitor.com
Sky News Australia
The Times of Israel
consequenceofsound.net
bust.com
www.dailyedge.ie
www.flare.com
FanSided
lithub.com
NYLON
www.instylemag.com.au
Mediaite
The New Yorker
Fox News Insider
FOX 61
680 NEWS
www.jerusalemonline.com
The Jewish Press
MassLive.com
The Roanoke Times
South Florida Sun Sentinel
constitution.com
indiancountrymedianetwork.com
ipolitics.ca
WISC-TV / Channel 3000
www.financialexpress.com
moneycontrol.com
www.nationalnewswatch.com
www.nationalobserver.com
www.palmbeachpost.com
The Raw Story
Teen Vogue
teleSUR
www.whio.com
9to5toys.com
BGR
www.smartbrief.com
The Next Web
VentureBeat
www.512tech.com
The Business Journals
Drew Curtis' Fark.com
FOX 47 News - WSYM
KING 5
Popular Mechanics
Space.com
www.zmescience.com
ABC6 News
Boston Herald
GOLF.com
The News & Observer
NFL
www.thisismoney.co.uk
thespun.com
theundefeated.com
Golf Channel
Golf Digest
www.mlbtraderumors.com
Philadelphia Eagles
www.racingpost.com
Saturday Down South
www.seccountry.com
Foreign Policy
" who…"""
www.dailysabah.com
The Quint
NBC Charlotte
Firstpost
www.therichest.com
Android Central
Fox2Now
WSFA-TV
WSBT-TV
News 4 Tucson - KVOA
www.nationalmemo.com
yourstory.com
WESH 2 News
Tulsa's Channel 8 - KTUL
Bradenton Herald
ABC Action News - WFTS - Tampa Bay
NBC 6
TheBlaze
morungexpress.com
Quartz
