,Total Trends in IL,Total Trends in CA,Total Unique Trends in IL,Total Unique Trends in CA,Total Similar Unique Trends in  IL and CA,
,7917,7943,129,129,129,
Topic,Total Trends in IL,Total Trends in CA,Total Unique Trends in IL,Total Unique Trends in CA,Total Similar Unique Trends Between IL and CA,Topic
Top Trends,1930,1930,52,52,52,Top Trends
Politics,1852,1852,33,33,33,Politics
Science and Technology,852,858,15,15,15,Science and Technology
Sports,1640,1650,41,41,41,Sports
Entertainment,1643,1653,32,32,32,Entertainment
,,,173,173,,
