type,title,description,source,rank,scrapeid,timestamp,uniquelink
Top Trends,Chuck Schumer,Schumer trolls Trump after tweet attack with #BeBest hashtag,https://www.facebook.com/topic/Chuck-Schumer/104048026298236?source=whrt&position=10&trqid=6554043125451180180&impressionguid=0KwIsvo0bBCAkrHQS,10,30,5/10/2018 14:54,thehill.com
Top Trends,Federal Election Commission,This Candidate Became The First Woman To Use Campaign Funds To…,https://www.facebook.com/topic/Federal-Election-Commission/112582632092190?source=whfrt&position=3&trqid=6554043116656603598&impressionguid=0KwIsvo0bBCAkrHQS,3,30,5/10/2018 14:54,buzzfeed.com
Top Trends,Google Assistant,"Google's new Duplex personal assistant sounds human, but it's not",https://www.facebook.com/topic/Google-Assistant/412198698862630?source=whfrt&position=2&trqid=6554043116656603598&impressionguid=0KwIsvo0bBCAkrHQS,2,30,5/10/2018 14:54,msn.com
Top Trends,H. R. McMaster,Nurse charged in death of McMaster's father,https://www.facebook.com/topic/H-R-McMaster/108218175866737?source=whfrt&position=1&trqid=6554043116656603598&impressionguid=0KwIsvo0bBCAkrHQS,1,30,5/10/2018 14:54,thehill.com
Top Trends,House Intelligence Committee,House Democrats release Russian-bought Facebook ads to show 'malign' effect on 2016 election,https://www.facebook.com/topic/House-Intelligence-Committee/772439709519873?source=whrt&position=6&trqid=6554043125451180180&impressionguid=0KwIsvo0bBCAkrHQS,6,30,5/10/2018 14:54,cnbc.com
Top Trends,Mike Pence,Pence: Time to 'wrap up' Russia probe,https://www.facebook.com/topic/Mike-Pence/109603789065869?source=whrt&position=7&trqid=6554043125451180180&impressionguid=0KwIsvo0bBCAkrHQS,7,30,5/10/2018 14:54,bbc.com
Top Trends,Rudy Giuliani,Giuliani resigns from law firm due to 'pressing demands' of Mueller probe,https://www.facebook.com/topic/Rudy-Giuliani/105611002805494?source=whrt&position=9&trqid=6554043125451180180&impressionguid=0KwIsvo0bBCAkrHQS,9,30,5/10/2018 14:54,thehill.com
Top Trends,US Department of Defense,Report finds multiple failures leading to Niger attack,https://www.facebook.com/topic/US-Department-of-Defense/112225892126782?source=whrt&position=5&trqid=6554043125451180180&impressionguid=0KwIsvo0bBCAkrHQS,5,30,5/10/2018 14:54,yahoo.com
Top Trends,Chuck Schumer,Schumer trolls Trump after tweet attack with #BeBest hashtag,https://www.facebook.com/topic/Chuck-Schumer/104048026298236?source=whrt&position=8&trqid=6554045698071709555&impressionguid=0UcaiPUJ7hQ0v8VPa,8,31,5/10/2018 15:04,thehill.com
Top Trends,Federal Election Commission,This Candidate Became The First Woman To Use Campaign Funds To…,https://www.facebook.com/topic/Federal-Election-Commission/112582632092190?source=whfrt&position=3&trqid=6554045693848301540&impressionguid=0UcaiPUJ7hQ0v8VPa,3,31,5/10/2018 15:04,buzzfeed.com
Top Trends,Google Assistant,"Google's new Duplex personal assistant sounds human, but it's not",https://www.facebook.com/topic/Google-Assistant/412198698862630?source=whfrt&position=2&trqid=6554045693848301540&impressionguid=0UcaiPUJ7hQ0v8VPa,2,31,5/10/2018 15:04,msn.com
Top Trends,House Intelligence Committee,House Democrats release Russian-bought Facebook ads to show 'malign' effect on 2016 election,https://www.facebook.com/topic/House-Intelligence-Committee/772439709519873?source=whrt&position=4&trqid=6554045698071709555&impressionguid=0UcaiPUJ7hQ0v8VPa,4,31,5/10/2018 15:04,cnbc.com
Top Trends,H.R. McMaster,Nurse charged in death of H.R. McMaster's father,https://www.facebook.com/topic/HR-McMaster/108218175866737?source=whfrt&position=1&trqid=6554045693848301540&impressionguid=0UcaiPUJ7hQ0v8VPa,1,31,5/10/2018 15:04,foxnews.com
Top Trends,Mike Pence,Pence: Time to 'wrap up' Russia probe,https://www.facebook.com/topic/Mike-Pence/109603789065869?source=whrt&position=5&trqid=6554045698071709555&impressionguid=0UcaiPUJ7hQ0v8VPa,5,31,5/10/2018 15:04,bbc.com
Top Trends,Rudy Giuliani,Giuliani resigns from law firm due to 'pressing demands' of Mueller probe,https://www.facebook.com/topic/Rudy-Giuliani/105611002805494?source=whrt&position=7&trqid=6554045698071709555&impressionguid=0UcaiPUJ7hQ0v8VPa,7,31,5/10/2018 15:04,thehill.com
Top Trends,Spotify,Spotify removes R Kelly from playlists due to ‘hateful conduct’ policy,https://www.facebook.com/topic/Spotify/112305882114708?source=whrt&position=9&trqid=6554045698071709555&impressionguid=0UcaiPUJ7hQ0v8VPa,9,31,5/10/2018 15:04,thehill.com
Top Trends,US Department of Defense,Report finds multiple failures leading to Niger attack,https://www.facebook.com/topic/US-Department-of-Defense/112225892126782?source=whrt&position=6&trqid=6554045698071709555&impressionguid=0UcaiPUJ7hQ0v8VPa,6,31,5/10/2018 15:04,yahoo.com
Top Trends,Yale University,Yale officers admonished the white student who called police on a napping black student,https://www.facebook.com/topic/Yale-University/105580046141640?source=whrt&position=10&trqid=6554045698071709555&impressionguid=0UcaiPUJ7hQ0v8VPa,10,31,5/10/2018 15:04,cnn.com
Top Trends,Chuck Schumer,Schumer trolls Trump after tweet attack with #BeBest hashtag,https://www.facebook.com/topic/Chuck-Schumer/104048026298236?source=whrt&position=8&trqid=6554048287856111446&impressionguid=0XhiqYv6LcE6TBjsr,8,32,5/10/2018 15:14,thehill.com
Top Trends,Federal Election Commission,This Candidate Became The First Woman To Use Campaign Funds To…,https://www.facebook.com/topic/Federal-Election-Commission/112582632092190?source=whrt&position=4&trqid=6554048287856111446&impressionguid=0XhiqYv6LcE6TBjsr,4,32,5/10/2018 15:14,buzzfeed.com
Top Trends,Google Assistant,"Google's new Duplex personal assistant sounds human, but it's not",https://www.facebook.com/topic/Google-Assistant/412198698862630?source=whfrt&position=2&trqid=6554048270746123421&impressionguid=0XhiqYv6LcE6TBjsr,2,32,5/10/2018 15:14,msn.com
Top Trends,House Intelligence Committee,House Democrats release Russian-bought Facebook ads to show 'malign'…,https://www.facebook.com/topic/House-Intelligence-Committee/772439709519873?source=whrt&position=5&trqid=6554048287856111446&impressionguid=0XhiqYv6LcE6TBjsr,5,32,5/10/2018 15:14,cnbc.com
Top Trends,H.R. McMaster,Nurse charged in death of H.R. McMaster's father,https://www.facebook.com/topic/HR-McMaster/108218175866737?source=whfrt&position=1&trqid=6554048270746123421&impressionguid=0XhiqYv6LcE6TBjsr,1,32,5/10/2018 15:14,foxnews.com
Top Trends,Klout,"Klout, the $200 million website that measured how…",https://www.facebook.com/topic/Klout/169468886431948?source=whfrt&position=3&trqid=6554048270746123421&impressionguid=0XhiqYv6LcE6TBjsr,3,32,5/10/2018 15:14,businessinsider.com
Top Trends,Mike Pence,Pence: Time to 'wrap up' Russia probe,https://www.facebook.com/topic/Mike-Pence/109603789065869?source=whrt&position=6&trqid=6554048287856111446&impressionguid=0XhiqYv6LcE6TBjsr,6,32,5/10/2018 15:14,bbc.com
Top Trends,Spotify,Spotify removes R Kelly from playlists due to ‘hateful conduct’ policy,https://www.facebook.com/topic/Spotify/112305882114708?source=whrt&position=9&trqid=6554048287856111446&impressionguid=0XhiqYv6LcE6TBjsr,9,32,5/10/2018 15:14,thehill.com
Top Trends,US Department of Defense,Report finds multiple failures leading to Niger attack,https://www.facebook.com/topic/US-Department-of-Defense/112225892126782?source=whrt&position=7&trqid=6554048287856111446&impressionguid=0XhiqYv6LcE6TBjsr,7,32,5/10/2018 15:14,yahoo.com
Top Trends,Yale University,Yale officers admonished the white student who called police on a napping…,https://www.facebook.com/topic/Yale-University/105580046141640?source=whrt&position=10&trqid=6554048287856111446&impressionguid=0XhiqYv6LcE6TBjsr,10,32,5/10/2018 15:14,cnn.com
