type,title,description,source,uniquelink,rank,scrapeid,timestamp
Top Trends,Scott Pruitt,Make-or-break moment for EPA chief Pruitt,thehill.com,https://www.facebook.com/topic/Scott-Pruitt/106091632756135?source=whfrt&position=1&trqid=6548634892667403581&impressionguid=0EhWpEn6krqvQoGML,1,0,Thu Apr 26 01:08:05 2018
Top Trends,Ford Motor Company,"Ford announces $1.7B quarterly profit, deep cuts to car lineup",freep.com,https://www.facebook.com/topic/Ford-Motor-Company/109378242415264?source=whfrt&position=2&trqid=6548634892667403581&impressionguid=0EhWpEn6krqvQoGML,2,0,Thu Apr 26 01:08:05 2018
Top Trends,Ben Carson,HUD Floats a Plan Intended to Reduce Dependence on Housing…,nytimes.com,https://www.facebook.com/topic/Ben-Carson/107825632579338?source=whfrt&position=3&trqid=6548634892667403581&impressionguid=0EhWpEn6krqvQoGML,3,0,Thu Apr 26 01:08:05 2018
Top Trends,Indiana Pacers vs. Cleveland Cavaliers,LeBron James Nails Buzzer-Beater to Stun Pacers in Game 5,bleacherreport.com,https://www.facebook.com/topic/Indiana-Pacers-vs-Cleveland-Cavaliers/103781356327286?source=whrt&position=4&trqid=6548634901069551533&impressionguid=0EhWpEn6krqvQoGML,4,0,Thu Apr 26 01:08:05 2018
Top Trends,Ronny Jackson,Report details new allegations against Ronny Jackson,cbsnews.com,https://www.facebook.com/topic/Ronny-Jackson/112957978719119?source=whrt&position=5&trqid=6548634901069551533&impressionguid=0EhWpEn6krqvQoGML,5,0,Thu Apr 26 01:08:05 2018
Top Trends,Michael Cohen,Michael Cohen to Take Fifth Amendment in Stormy Daniels Lawsuit,nytimes.com,https://www.facebook.com/topic/Michael-Cohen/110797148971088?source=whrt&position=6&trqid=6548634901069551533&impressionguid=0EhWpEn6krqvQoGML,6,0,Thu Apr 26 01:08:05 2018
Top Trends,Golden State Killer,"Former police officer, 72, arrested in decades-old 'Golden State Killer' case",yahoo.com,https://www.facebook.com/topic/Golden-State-Killer/109513509075288?source=whrt&position=7&trqid=6548634901069551533&impressionguid=0EhWpEn6krqvQoGML,7,0,Thu Apr 26 01:08:05 2018
Top Trends,Punggye-ri Nuclear Test Site,Collapse of North Korea nuclear site threatens fallout: report,aljazeera.com,https://www.facebook.com/topic/Punggye-ri-Nuclear-Test-Site/104103069627496?source=whrt&position=8&trqid=6548634901069551533&impressionguid=0EhWpEn6krqvQoGML,8,0,Thu Apr 26 01:08:05 2018
Top Trends,George H.W. Bush,George H.W. Bush moved out of intensive care unit,cbsnews.com,https://www.facebook.com/topic/George-HW-Bush/112502138762388?source=whrt&position=9&trqid=6548634901069551533&impressionguid=0EhWpEn6krqvQoGML,9,0,Thu Apr 26 01:08:05 2018
Top Trends,"Costa da Morte, Spain",This Spanish Woman Is Famous Online for Looking Like Trump,nbcconnecticut.com,https://www.facebook.com/topic/Costa-da-Morte-Spain/115413541807868?source=whrt&position=10&trqid=6548634901069551533&impressionguid=0EhWpEn6krqvQoGML,10,0,Thu Apr 26 01:08:05 2018
Politics,Scott Pruitt,Make-or-break moment for EPA chief Pruitt,thehill.com,https://www.facebook.com/topic/Scott-Pruitt/106091632756135?source=whfrt&position=1001&trqid=6548634901254274826&impressionguid=04B9bikvN056jcjhi,1,0,Thu Apr 26 01:08:08 2018
Politics,Ben Carson,HUD Floats a Plan Intended to Reduce Dependence on Housing…,nytimes.com,https://www.facebook.com/topic/Ben-Carson/107825632579338?source=whfrt&position=1002&trqid=6548634901254274826&impressionguid=04B9bikvN056jcjhi,2,0,Thu Apr 26 01:08:08 2018
Politics,Ronny Jackson,Report details new allegations against Ronny Jackson,cbsnews.com,https://www.facebook.com/topic/Ronny-Jackson/112957978719119?source=whfrt&position=1003&trqid=6548634901254274826&impressionguid=04B9bikvN056jcjhi,3,0,Thu Apr 26 01:08:08 2018
Politics,Michael Cohen,Michael Cohen to Take Fifth Amendment in Stormy Daniels Lawsuit,nytimes.com,https://www.facebook.com/topic/Michael-Cohen/110797148971088?source=whfrt&position=1004&trqid=6548634901254274826&impressionguid=04B9bikvN056jcjhi,4,0,Thu Apr 26 01:08:08 2018
Politics,Punggye-ri Nuclear Test Site,Collapse of North Korea nuclear site threatens fallout: report,aljazeera.com,https://www.facebook.com/topic/Punggye-ri-Nuclear-Test-Site/104103069627496?source=whfrt&position=1005&trqid=6548634901254274826&impressionguid=04B9bikvN056jcjhi,5,0,Thu Apr 26 01:08:08 2018
Politics,George H.W. Bush,George H.W. Bush moved out of intensive care unit,cbsnews.com,https://www.facebook.com/topic/George-HW-Bush/112502138762388?source=whfrt&position=1006&trqid=6548634901254274826&impressionguid=04B9bikvN056jcjhi,6,0,Thu Apr 26 01:08:08 2018
Politics,"Costa da Morte, Spain",This Spanish Woman Is Famous Online for Looking Like Trump,nbcconnecticut.com,https://www.facebook.com/topic/Costa-da-Morte-Spain/115413541807868?source=whfrt&position=1007&trqid=6548634901254274826&impressionguid=04B9bikvN056jcjhi,7,0,Thu Apr 26 01:08:08 2018
Politics,Sean Spicer,Spicer presides over unveiling of Melania Trump wax figure at Madame…,msn.com,https://www.facebook.com/topic/Sean-Spicer/1795466980735778?source=whfrt&position=1008&trqid=6548634901254274826&impressionguid=04B9bikvN056jcjhi,8,0,Thu Apr 26 01:08:08 2018
