Category,Title,Description,TrendLink,Ranking,ScrapeID,TS,Source
Politics,Joint Comprehensive Plan of Action,U.S. wants Germany to halt trade with Iran,https://www.facebook.com/topic/Joint-Comprehensive-Plan-of-Action/105503206150390?source=whfrt&position=1010&trqid=6554786545394891755&impressionguid=08eY16QWQ23aRt8Uk,10,0,5/12/2018 14:59,foxnews.com
Science and Technology,NASA,"NASA sending helicopter to Mars, aiming for an aviation first",https://www.facebook.com/topic/NASA/103086076398533?source=whfrt&position=3001&trqid=6554786545398138161&impressionguid=0sVyAnWfbFflpx0wa,1,0,5/12/2018 14:59,cnn.com
Science and Technology,Cardi B,Cardi B Deletes Her Instagram Account After Responding to Azealia Banks' Insults,https://www.facebook.com/topic/Cardi-B/170124049752438?source=whfrt&position=3002&trqid=6554786545398138161&impressionguid=0sVyAnWfbFflpx0wa,2,0,5/12/2018 14:59,billboard.com
Science and Technology,Boston Dynamics,Boston Dynamics' Robot Dog Will Be Available Next Year,https://www.facebook.com/topic/Boston-Dynamics/104049559631265?source=whfrt&position=3003&trqid=6554786545398138161&impressionguid=0sVyAnWfbFflpx0wa,3,0,5/12/2018 14:59,wired.com
Science and Technology,World Horse Welfare,Nan shocked by unwanted horse delivery after granddaughter orders pony online,https://www.facebook.com/topic/World-Horse-Welfare/109503792402640?source=whfrt&position=3004&trqid=6554786545398138161&impressionguid=0sVyAnWfbFflpx0wa,4,0,5/12/2018 14:59,birminghammail.co.uk
Science and Technology,K?lauea,Hawaii's Kilauea volcano in danger of turning explosive,https://www.facebook.com/topic/K%C4%ABlauea/103134676394019?source=whfrt&position=3005&trqid=6554786545398138161&impressionguid=0sVyAnWfbFflpx0wa,5,0,5/12/2018 14:59,video.foxnews.com
Science and Technology,"Cleveland, Ohio",Ohio shelter dog's 'freedom ride' photo goes viral,https://www.facebook.com/topic/Cleveland-Ohio/114197241930754?source=whfrt&position=3006&trqid=6554786545398138161&impressionguid=0sVyAnWfbFflpx0wa,6,0,5/12/2018 14:59,foxnews.com
Science and Technology,"Loveland, Ohio",Dogs take epic 'selfie',https://www.facebook.com/topic/Loveland-Ohio/103999682969695?source=whfrt&position=3007&trqid=6554786545398138161&impressionguid=0sVyAnWfbFflpx0wa,7,0,5/12/2018 14:59,yahoo.com
Top Trends,Joe Donnelly,Donnelly announces support for Trump's CIA pick Gina Haspel,https://www.facebook.com/topic/Joe-Donnelly/107799802575988?source=whfrt&position=1&trqid=6554789118090283703&impressionguid=0RmZydwzRiAvQ6yuj,1,1,5/12/2018 15:09,thehill.com
Top Trends,Rudy Giuliani,Rudy Giuliani says Trump 'denied' AT&T merger,https://www.facebook.com/topic/Rudy-Giuliani/105619959472103?source=whfrt&position=2&trqid=6554789118090283703&impressionguid=0RmZydwzRiAvQ6yuj,2,1,5/12/2018 15:09,msn.com
Top Trends,Hawaii,Trump declares a major disaster in Hawaii after volcanic eruptions and lava,https://www.facebook.com/topic/Hawaii/108131545882056?source=whfrt&position=3&trqid=6554789118090283703&impressionguid=0RmZydwzRiAvQ6yuj,3,1,5/12/2018 15:09,cnn.com
Top Trends,Nawaz Sharif,Ex-Pakistan PM Nawaz Sharif admits his nation could have prevented 26/11 Mumbai attacks,https://www.facebook.com/topic/Nawaz-Sharif/1469808086567736?source=whrt&position=4&trqid=6554789122447935449&impressionguid=0RmZydwzRiAvQ6yuj,4,1,5/12/2018 15:09,in.news.yahoo.com
Top Trends,Brooklyn Nine-Nine,Brooklyn Nine-Nine saved after outcry,https://www.facebook.com/topic/Brooklyn-Nine-Nine/505390409540531?source=whrt&position=5&trqid=6554789122447935449&impressionguid=0RmZydwzRiAvQ6yuj,5,1,5/12/2018 15:09,bbc.com
Top Trends,"Oakland, California",White woman calls police on black family during barbecuing for “trespassing”,https://www.facebook.com/topic/Oakland-California/108363292521622?source=whrt&position=6&trqid=6554789122447935449&impressionguid=0RmZydwzRiAvQ6yuj,6,1,5/12/2018 15:09,salon.com
Top Trends,Israel–Gaza Barrier,Israel closes Gaza border crossing damaged by Palestinians,https://www.facebook.com/topic/IsraelGaza-Barrier/143286939022003?source=whrt&position=7&trqid=6554789122447935449&impressionguid=0RmZydwzRiAvQ6yuj,7,1,5/12/2018 15:09,reuters.com
Top Trends,Rose Acre Farms,"Salmonella Outbreak, Eggs, And Rose Acre Farms: What You Need To Know",https://www.facebook.com/topic/Rose-Acre-Farms/103125019727168?source=whrt&position=8&trqid=6554789122447935449&impressionguid=0RmZydwzRiAvQ6yuj,8,1,5/12/2018 15:09,forbes.com
Top Trends,Narendra Modi,Polls suggest Modi's BJP may be leading party in India's Karnataka,https://www.facebook.com/topic/Narendra-Modi/108606272497562?source=whrt&position=9&trqid=6554789122447935449&impressionguid=0RmZydwzRiAvQ6yuj,9,1,5/12/2018 15:09,reuters.com
Top Trends,North American Aerospace Defense Command,US Air Force jets intercept 2 Russian bombers off Alaska coast,https://www.facebook.com/topic/North-American-Aerospace-Defense-Command/135415036493357?source=whrt&position=10&trqid=6554789122447935449&impressionguid=0RmZydwzRiAvQ6yuj,10,1,5/12/2018 15:09,foxnews.com
Politics,Joe Donnelly,Donnelly announces support for Trump's CIA pick Gina Haspel,https://www.facebook.com/topic/Joe-Donnelly/107799802575988?source=whfrt&position=1001&trqid=6554789122622433107&impressionguid=0Fz98ZrNWI1u74dai,1,1,5/12/2018 15:09,thehill.com
Politics,Rudy Giuliani,Rudy Giuliani says Trump 'denied' AT&T merger,https://www.facebook.com/topic/Rudy-Giuliani/105619959472103?source=whfrt&position=1002&trqid=6554789122622433107&impressionguid=0Fz98ZrNWI1u74dai,2,1,5/12/2018 15:09,msn.com
Politics,Hawaii,Trump declares a major disaster in Hawaii after volcanic eruptions and lava,https://www.facebook.com/topic/Hawaii/108131545882056?source=whfrt&position=1003&trqid=6554789122622433107&impressionguid=0Fz98ZrNWI1u74dai,3,1,5/12/2018 15:09,cnn.com
Politics,Nawaz Sharif,Ex-Pakistan PM Nawaz Sharif admits his nation could have prevented 26/11 Mumbai attacks,https://www.facebook.com/topic/Nawaz-Sharif/1469808086567736?source=whfrt&position=1004&trqid=6554789122622433107&impressionguid=0Fz98ZrNWI1u74dai,4,1,5/12/2018 15:09,in.news.yahoo.com
Politics,Israel–Gaza Barrier,Israel closes Gaza border crossing damaged by Palestinians,https://www.facebook.com/topic/IsraelGaza-Barrier/143286939022003?source=whfrt&position=1005&trqid=6554789122622433107&impressionguid=0Fz98ZrNWI1u74dai,5,1,5/12/2018 15:09,reuters.com
Politics,Narendra Modi,Polls suggest Modi's BJP may be leading party in India's Karnataka,https://www.facebook.com/topic/Narendra-Modi/108606272497562?source=whfrt&position=1006&trqid=6554789122622433107&impressionguid=0Fz98ZrNWI1u74dai,6,1,5/12/2018 15:09,reuters.com
Politics,North American Aerospace Defense Command,US Air Force jets intercept 2 Russian bombers off Alaska coast,https://www.facebook.com/topic/North-American-Aerospace-Defense-Command/135415036493357?source=whfrt&position=1007&trqid=6554789122622433107&impressionguid=0Fz98ZrNWI1u74dai,7,1,5/12/2018 15:09,foxnews.com
Politics,Mary Fallin,Oklahoma governor signs adoption law that LGBT groups call discriminatory,https://www.facebook.com/topic/Mary-Fallin/108163279204175?source=whfrt&position=1008&trqid=6554789122622433107&impressionguid=0Fz98ZrNWI1u74dai,8,1,5/12/2018 15:09,cnn.com
Politics,Michael Cohen,Mueller probed Cohen's outreach to Ford in 2017: report,https://www.facebook.com/topic/Michael-Cohen/108246732529050?source=whfrt&position=1009&trqid=6554789122622433107&impressionguid=0Fz98ZrNWI1u74dai,9,1,5/12/2018 15:09,thehill.com
Politics,Joint Comprehensive Plan of Action,U.S. wants Germany to halt trade with Iran,https://www.facebook.com/topic/Joint-Comprehensive-Plan-of-Action/105503206150390?source=whfrt&position=1010&trqid=6554789122622433107&impressionguid=0Fz98ZrNWI1u74dai,10,1,5/12/2018 15:09,foxnews.com
Science and Technology,NASA,"NASA sending helicopter to Mars, aiming for an aviation first",https://www.facebook.com/topic/NASA/103086076398533?source=whfrt&position=3001&trqid=6554789122612437318&impressionguid=03106abFwRlYnL1r4,1,1,5/12/2018 15:09,cnn.com
Science and Technology,Cardi B,Cardi B Deletes Her Instagram Account After Responding to Azealia Banks' Insults,https://www.facebook.com/topic/Cardi-B/170124049752438?source=whfrt&position=3002&trqid=6554789122612437318&impressionguid=03106abFwRlYnL1r4,2,1,5/12/2018 15:09,billboard.com
Science and Technology,Boston Dynamics,Boston Dynamics' Robot Dog Will Be Available Next Year,https://www.facebook.com/topic/Boston-Dynamics/104049559631265?source=whfrt&position=3003&trqid=6554789122612437318&impressionguid=03106abFwRlYnL1r4,3,1,5/12/2018 15:09,wired.com
Science and Technology,World Horse Welfare,Nan shocked by unwanted horse delivery after granddaughter orders pony online,https://www.facebook.com/topic/World-Horse-Welfare/109503792402640?source=whfrt&position=3004&trqid=6554789122612437318&impressionguid=03106abFwRlYnL1r4,4,1,5/12/2018 15:09,birminghammail.co.uk
Science and Technology,K?lauea,Hawaii's Kilauea volcano in danger of turning explosive,https://www.facebook.com/topic/K%C4%ABlauea/103134676394019?source=whfrt&position=3005&trqid=6554789122612437318&impressionguid=03106abFwRlYnL1r4,5,1,5/12/2018 15:09,video.foxnews.com
Science and Technology,"Cleveland, Ohio",Ohio shelter dog's 'freedom ride' photo goes viral,https://www.facebook.com/topic/Cleveland-Ohio/114197241930754?source=whfrt&position=3006&trqid=6554789122612437318&impressionguid=03106abFwRlYnL1r4,6,1,5/12/2018 15:09,foxnews.com
Science and Technology,"Loveland, Ohio",Dogs take epic 'selfie',https://www.facebook.com/topic/Loveland-Ohio/103999682969695?source=whfrt&position=3007&trqid=6554789122612437318&impressionguid=03106abFwRlYnL1r4,7,1,5/12/2018 15:09,yahoo.com
Sports,Tiger Woods,Tiger Woods right on cut line after second-round 71 at the Players,https://www.facebook.com/topic/Tiger-Woods/104002416305605?source=whfrt&position=4001&trqid=6554789122405312861&impressionguid=0A5acu8G2LEUDS0Jh,1,1,5/12/2018 15:09,msn.com
Sports,Liverpool vs. Brighton & Hove Albion,Liverpool v Brighton & Hove Albion,https://www.facebook.com/topic/Liverpool-vs-Brighton-Hove-Albion/108150919205383?source=whfrt&position=4002&trqid=6554789122405312861&impressionguid=0A5acu8G2LEUDS0Jh,2,1,5/12/2018 15:09,bbc.com
Sports,Middlesbrough vs. Aston Villa,Middlesbrough 0-1 Aston Villa: Championship play-off semi-final – as it happened,https://www.facebook.com/topic/Middlesbrough-vs-Aston-Villa/103134989726379?source=whfrt&position=4003&trqid=6554789122405312861&impressionguid=0A5acu8G2LEUDS0Jh,3,1,5/12/2018 15:09,theguardian.com
Sports,Dominic Thiem,Dominic Thiem Beats Kevin Anderson to Reach Madrid Open Final,https://www.facebook.com/topic/Dominic-Thiem/133176126721595?source=whfrt&position=4004&trqid=6554789122405312861&impressionguid=0A5acu8G2LEUDS0Jh,4,1,5/12/2018 15:09,nytimes.com
Sports,A'ja Wilson,South Carolina plans statue of A'ja Wilson,https://www.facebook.com/topic/Aja-Wilson/245002968983367?source=whfrt&position=4005&trqid=6554789122405312861&impressionguid=0A5acu8G2LEUDS0Jh,5,1,5/12/2018 15:09,espn.com
Sports,Hamburger SV,Hamburg relegated from Bundesliga as flares delay end of match,https://www.facebook.com/topic/Hamburger-SV/113096292034037?source=whfrt&position=4006&trqid=6554789122405312861&impressionguid=0A5acu8G2LEUDS0Jh,6,1,5/12/2018 15:09,bbc.com
Sports,Soldier Field,Potential Propane Tank Explosion Reported at Soldier Field: Police,https://www.facebook.com/topic/Soldier-Field/109317749088022?source=whfrt&position=4007&trqid=6554789122405312861&impressionguid=0A5acu8G2LEUDS0Jh,7,1,5/12/2018 15:09,nbcchicago.com
Sports,Derek Barnett,Eagles DE Derek Barnett reportedly had sports hernia surgery after Super Bowl,https://www.facebook.com/topic/Derek-Barnett/103341153337383?source=whfrt&position=4008&trqid=6554789122405312861&impressionguid=0A5acu8G2LEUDS0Jh,8,1,5/12/2018 15:09,cbssports.com
Sports,Spanish Grand Prix,Ferrari told to remove halo winglets for Monaco,https://www.facebook.com/topic/Spanish-Grand-Prix/103130773060124?source=whfrt&position=4009&trqid=6554789122405312861&impressionguid=0A5acu8G2LEUDS0Jh,9,1,5/12/2018 15:09,motorsport.com
Sports,Nate Diaz,"Nate Diaz Rips 'Cheater' Georges St-Pierre, Says UFC Is Selling 'Wolf Tickets'",https://www.facebook.com/topic/Nate-Diaz/105516689482096?source=whfrt&position=4010&trqid=6554789122405312861&impressionguid=0A5acu8G2LEUDS0Jh,10,1,5/12/2018 15:09,bleacherreport.com
Entertainment,Brooklyn Nine-Nine,Brooklyn Nine-Nine saved after outcry,https://www.facebook.com/topic/Brooklyn-Nine-Nine/505390409540531?source=whfrt&position=5001&trqid=6554789122436775991&impressionguid=06j5V1SuLpX5PyePk,1,1,5/12/2018 15:09,bbc.com
Entertainment,Cardi B,Cardi B Deletes Her Instagram Account After Responding to Azealia…,https://www.facebook.com/topic/Cardi-B/170124049752438?source=whfrt&position=5002&trqid=6554789122436775991&impressionguid=06j5V1SuLpX5PyePk,2,1,5/12/2018 15:09,billboard.com
Entertainment,Avengers: Infinity War,‘Avengers: Infinity War’ Crosses $500 Million Domestic,https://www.facebook.com/topic/Avengers-Infinity-War/110068432378616?source=whfrt&position=5003&trqid=6554789122436775991&impressionguid=06j5V1SuLpX5PyePk,3,1,5/12/2018 15:09,msn.com
Entertainment,Kylie Jenner,Kylie Jenner Hot Bodyguard Tim Chung Denies He Is Stormi’s…,https://www.facebook.com/topic/Kylie-Jenner/108566385841741?source=whfrt&position=5004&trqid=6554789122436775991&impressionguid=06j5V1SuLpX5PyePk,4,1,5/12/2018 15:09,usmagazine.com
Entertainment,Jeremy Clarkson,'TV highlight of 2018!' Mortified Jeremy Clarkson ends Who Wants To…,https://www.facebook.com/topic/Jeremy-Clarkson/103117966394531?source=whfrt&position=5005&trqid=6554789122436775991&impressionguid=06j5V1SuLpX5PyePk,5,1,5/12/2018 15:09,msn.com
Entertainment,Last Man Standing,Tim Allen's 'Last Man Standing' resurrected at Fox,https://www.facebook.com/topic/Last-Man-Standing/105710509461807?source=whfrt&position=5006&trqid=6554789122436775991&impressionguid=06j5V1SuLpX5PyePk,6,1,5/12/2018 15:09,msn.com
Entertainment,Justin Timberlake,You can work for Justin Timberlake for a day if you act fast,https://www.facebook.com/topic/Justin-Timberlake/109515035734848?source=whfrt&position=5007&trqid=6554789122436775991&impressionguid=06j5V1SuLpX5PyePk,7,1,5/12/2018 15:09,businessinsider.com
Entertainment,Lucifer,‘Lucifer’ Canceled After Three Seasons at Fox,https://www.facebook.com/topic/Lucifer/109065099112010?source=whfrt&position=5008&trqid=6554789122436775991&impressionguid=06j5V1SuLpX5PyePk,8,1,5/12/2018 15:09,variety.com
Entertainment,American Broadcasting Company,"‘Inhumans,’ ‘Deception,’ ‘The Crossing,’ ‘Kevin Probably Saves the…",https://www.facebook.com/topic/American-Broadcasting-Company/111637762186068?source=whfrt&position=5009&trqid=6554789122436775991&impressionguid=06j5V1SuLpX5PyePk,9,1,5/12/2018 15:09,variety.com
Entertainment,Sarah Drew,'Grey's Anatomy' star salutes cast with emotional behind-the-scenes…,https://www.facebook.com/topic/Sarah-Drew/102688153119700?source=whfrt&position=5010&trqid=6554789122436775991&impressionguid=06j5V1SuLpX5PyePk,10,1,5/12/2018 15:09,today.com
Top Trends,Joe Donnelly,Donnelly announces support for Trump's CIA pick Gina Haspel,https://www.facebook.com/topic/Joe-Donnelly/107799802575988?source=whfrt&position=1&trqid=6554791695138512462&impressionguid=0Q2VAqOti8F7iJnCf,1,2,5/12/2018 15:19,thehill.com
Top Trends,Rudy Giuliani,Rudy Giuliani says Trump 'denied' AT&T merger,https://www.facebook.com/topic/Rudy-Giuliani/105619959472103?source=whfrt&position=2&trqid=6554791695138512462&impressionguid=0Q2VAqOti8F7iJnCf,2,2,5/12/2018 15:19,msn.com
Top Trends,Hawaii,Trump declares a major disaster in Hawaii after volcanic eruptions and lava,https://www.facebook.com/topic/Hawaii/108131545882056?source=whfrt&position=3&trqid=6554791695138512462&impressionguid=0Q2VAqOti8F7iJnCf,3,2,5/12/2018 15:19,cnn.com
Top Trends,Nawaz Sharif,Ex-Pakistan PM Nawaz Sharif admits his nation could have prevented 26/11 Mumbai attacks,https://www.facebook.com/topic/Nawaz-Sharif/1469808086567736?source=whrt&position=4&trqid=6554791699574089817&impressionguid=0Q2VAqOti8F7iJnCf,4,2,5/12/2018 15:19,in.news.yahoo.com
