Science and Technology,Science Advances,Case closed: Oldest known cave art proves Neanderthals were…,latimes.com,https://www.facebook.com/topic/Science-Advances/115762908438183?source=whfrt&position=3001&trqid=6525489590117429378&impressionguid=0QWExpMJa0GJZIoO0,1,0,Thu Feb 22 15:16:12 2018
Science and Technology,Snapchat,Snap responds to the 1.2 million petition signers who hate the redesign,msn.com,https://www.facebook.com/topic/Snapchat/451051621609562?source=whfrt&position=3002&trqid=6525489590117429378&impressionguid=0QWExpMJa0GJZIoO0,2,0,Thu Feb 22 15:16:12 2018
Science and Technology,"Rosario, Argentina",An amateur astronomer testing a new camera happens to catch a…,msn.com,https://www.facebook.com/topic/Rosario-Argentina/141179196086431?source=whfrt&position=3003&trqid=6525489590117429378&impressionguid=0QWExpMJa0GJZIoO0,3,0,Thu Feb 22 15:16:12 2018
Science and Technology,SpaceX,Spectacular predawn launch for SpaceX Falcon 9,msn.com,https://www.facebook.com/topic/SpaceX/106576389377109?source=whfrt&position=3004&trqid=6525489590117429378&impressionguid=0QWExpMJa0GJZIoO0,4,0,Thu Feb 22 15:16:12 2018
Science and Technology,Federal Communications Commission,FCC Orders Net Neutrality To End In April,huffingtonpost.com,https://www.facebook.com/topic/Federal-Communications-Commission/104008902969103?source=whfrt&position=3005&trqid=6525489590117429378&impressionguid=0QWExpMJa0GJZIoO0,5,0,Thu Feb 22 15:16:12 2018
Science and Technology,Airbnb,"Stymied by regulators, Airbnb looks to luxury vacations, hotels for...",reuters.com,https://www.facebook.com/topic/Airbnb/221882364512593?source=whfrt&position=3006&trqid=6525489590117429378&impressionguid=0QWExpMJa0GJZIoO0,6,0,Thu Feb 22 15:16:12 2018
Science and Technology,Apple Inc.,Apple Plans Upgrades to Popular AirPods Headphones,bloomberg.com,https://www.facebook.com/topic/Apple-Inc/105596369475033?source=whfrt&position=3007&trqid=6525489590117429378&impressionguid=0QWExpMJa0GJZIoO0,7,0,Thu Feb 22 15:16:12 2018
Science and Technology,UPS,UPS partners with Workhorse to build electric delivery vans,reuters.com,https://www.facebook.com/topic/UPS/111311735562978?source=whfrt&position=3008&trqid=6525489590117429378&impressionguid=0QWExpMJa0GJZIoO0,8,0,Thu Feb 22 15:16:12 2018
Science and Technology,University of California,"Alcohol and coffee can help you live past 90, study says",freep.com,https://www.facebook.com/topic/University-of-California/105781996123154?source=whfrt&position=3009&trqid=6525489590117429378&impressionguid=0QWExpMJa0GJZIoO0,9,0,Thu Feb 22 15:16:12 2018
Science and Technology,Amazon Go,"Amazon reportedly plans to open more of its futuristic,…",businessinsider.com,https://www.facebook.com/topic/Amazon-Go/1537289879665036?source=whfrt&position=3010&trqid=6525489590117429378&impressionguid=0QWExpMJa0GJZIoO0,10,0,Thu Feb 22 15:16:12 2018
Sports,US Women's National Ice Hockey Team,"USA women win hockey gold in thrilling, shootout finish",msn.com,https://www.facebook.com/topic/US-Womens-National-Ice-Hockey-Team/115040395176915?source=whfrt&position=4001&trqid=6525489864941541779&impressionguid=0xRxQIY8iWJX8Ompx,1,0,Thu Feb 22 15:16:13 2018
Sports,Court of Arbitration for Sport,Russian Curlers to Give Back Bronze Olympic Medals…,bleacherreport.com,https://www.facebook.com/topic/Court-of-Arbitration-for-Sport/103143599740791?source=whfrt&position=4002&trqid=6525489864941541779&impressionguid=0xRxQIY8iWJX8Ompx,2,0,Thu Feb 22 15:16:13 2018
Sports,Gregg Popovich,"Sources: Kawhi has final say, opts to stay out",espn.com,https://www.facebook.com/topic/Gregg-Popovich/107579615938158?source=whfrt&position=4003&trqid=6525489864941541779&impressionguid=0xRxQIY8iWJX8Ompx,3,0,Thu Feb 22 15:16:13 2018
