Type,Title,Description,Source,Unique Link,Rank,Scrape Id,Timestamp
Sports,Sage Northcutt vs. Thibault Gouti,Sage Northcutt Wins Surprise Decision Over Thibault Gouti,jiujitsutimes.com,https://www.facebook.com/topic/Sage-Northcutt-vs-Thibault-Gouti/527840344225199?source=whfrt&position=4006&trqid=6524113064484232180&impressionguid=0qnPemBOmLYHSk9Ff,6,5,Sun Feb 18 22:10:48 2018
Sports,Tim Tebow,Mets GM Sandy Alderson Predicts Tim Tebow 'Will Play in the Major Leagues',bleacherreport.com,https://www.facebook.com/topic/Tim-Tebow/132898096748505?source=whfrt&position=4007&trqid=6524113064484232180&impressionguid=0qnPemBOmLYHSk9Ff,7,5,Sun Feb 18 22:10:48 2018
Sports,Bubba Watson,Bubba Watson Wins 2018 Genesis Open After Shooting 2 Under in Final Round,bleacherreport.com,https://www.facebook.com/topic/Bubba-Watson/109281382423411?source=whfrt&position=4008&trqid=6524113064484232180&impressionguid=0qnPemBOmLYHSk9Ff,8,5,Sun Feb 18 22:10:48 2018
Sports,Grayson Allen,Grayson Allen leads No. 12 Duke past No. 11 Clemson (VIDEO),foxsports.com,https://www.facebook.com/topic/Grayson-Allen/629025343884960?source=whfrt&position=4009&trqid=6524113064484232180&impressionguid=0qnPemBOmLYHSk9Ff,9,5,Sun Feb 18 22:10:48 2018
Sports,Eric Hosmer,Eric Hosmer striking it rich in San Diego is crazy enough to work,espn.com,https://www.facebook.com/topic/Eric-Hosmer/108110439216353?source=whfrt&position=4010&trqid=6524113064484232180&impressionguid=0qnPemBOmLYHSk9Ff,10,5,Sun Feb 18 22:10:48 2018
Entertainment,BAFTA Film Awards,BAFTAs 2018: Jennifer Lawrence and Angelina Jolie lead…,yahoo.com,https://www.facebook.com/topic/BAFTA-Film-Awards/108395679184728?source=whfrt&position=5001&trqid=6524113064494870825&impressionguid=0S0HLywlUfk6v8qrr,1,5,Sun Feb 18 22:10:49 2018
Entertainment,Black Panther,'Black Panther' Opens With Huge Box Office Numbers,huffingtonpost.com,https://www.facebook.com/topic/Black-Panther/137025309650379?source=whfrt&position=5002&trqid=6524113064494870825&impressionguid=0S0HLywlUfk6v8qrr,2,5,Sun Feb 18 22:10:49 2018
Entertainment,Fifty Shades Freed,'Black Panther' screening accidentally plays 'Fifty Shades Freed'…,foxnews.com,https://www.facebook.com/topic/Fifty-Shades-Freed/995627867185045?source=whfrt&position=5003&trqid=6524113064494870825&impressionguid=0S0HLywlUfk6v8qrr,3,5,Sun Feb 18 22:10:49 2018
Entertainment,Sylvester Stallone,Sylvester Stallone Reveals Official Poster for ‘Creed 2’,complex.com,https://www.facebook.com/topic/Sylvester-Stallone/105576262809575?source=whfrt&position=5004&trqid=6524113064494870825&impressionguid=0S0HLywlUfk6v8qrr,4,5,Sun Feb 18 22:10:49 2018
Entertainment,Gibson,"Gibson, Iconic Guitar Company, Said to Be Nearing Bankruptcy",variety.com,https://www.facebook.com/topic/Gibson/137770899578005?source=whfrt&position=5005&trqid=6524113064494870825&impressionguid=0S0HLywlUfk6v8qrr,5,5,Sun Feb 18 22:10:49 2018
Entertainment,Mattel,Mattel Unveils Tomb Raider Barbie Doll,gameinformer.com,https://www.facebook.com/topic/Mattel/113279032019446?source=whfrt&position=5006&trqid=6524113064494870825&impressionguid=0S0HLywlUfk6v8qrr,6,5,Sun Feb 18 22:10:49 2018
Entertainment,Joel McHale,Joel McHale On Moving to Netflix After ‘The Soup’ and Being Asked…,variety.com,https://www.facebook.com/topic/Joel-McHale/108160135872697?source=whfrt&position=5007&trqid=6524113064494870825&impressionguid=0S0HLywlUfk6v8qrr,7,5,Sun Feb 18 22:10:49 2018
Entertainment,Stanley Nelson Jr.,"""Tell Them We Are Rising"": An education in resilience",salon.com,https://www.facebook.com/topic/Stanley-Nelson-Jr/111740148838222?source=whfrt&position=5008&trqid=6524113064494870825&impressionguid=0S0HLywlUfk6v8qrr,8,5,Sun Feb 18 22:10:49 2018
Entertainment,Emma Watson,Emma Watson makes million pound donation to new fund,irishexaminer.com,https://www.facebook.com/topic/Emma-Watson/111653195517462?source=whfrt&position=5009&trqid=6524113064494870825&impressionguid=0S0HLywlUfk6v8qrr,9,5,Sun Feb 18 22:10:49 2018
Entertainment,Joe Jackson,Michael Jackson’s Father Brands Quincy Jones As a ‘Jealous’ Man…,vulture.com,https://www.facebook.com/topic/Joe-Jackson/105670029466884?source=whfrt&position=5010&trqid=6524113064494870825&impressionguid=0S0HLywlUfk6v8qrr,10,5,Sun Feb 18 22:10:49 2018
