Type,Title,Description,Source,Unique Link,Rank,Scrape Id,Timestamp
Politics,Viktor Orbán,Orbán claims Hungary is last bastion against 'Islamisation' of…,theguardian.com,https://www.facebook.com/topic/Viktor-Orb%C3%A1n/106502519386806?source=whfrt&position=1009&trqid=6523984964337547495&impressionguid=0XTPrNfeEI8OkYCcC,9,0,Sun Feb 18 13:53:44 2018
Politics,Malcolm Turnbull,Australia's PM in damage control as scandal undermines deputy,reuters.com,https://www.facebook.com/topic/Malcolm-Turnbull/108005782560850?source=whfrt&position=1010&trqid=6523984964337547495&impressionguid=0XTPrNfeEI8OkYCcC,10,0,Sun Feb 18 13:53:44 2018
Science and Technology,Joel McHale,Joel McHale On Moving to Netflix After ‘The Soup’ and Being Asked…,variety.com,https://www.facebook.com/topic/Joel-McHale/108160135872697?source=whfrt&position=3001&trqid=6523984964094269045&impressionguid=0kvNvGmt38EuZQaSA,1,0,Sun Feb 18 13:53:45 2018
Science and Technology,SpaceX,SpaceX 's next salvo in the space wars: Launching test satellites to…,cnbc.com,https://www.facebook.com/topic/SpaceX/105652159469464?source=whfrt&position=3002&trqid=6523984964094269045&impressionguid=0kvNvGmt38EuZQaSA,2,0,Sun Feb 18 13:53:45 2018
Sports,Tim Tebow,Mets GM thinks Tim Tebow will play in the major leagues,sports.yahoo.com,https://www.facebook.com/topic/Tim-Tebow/132898096748505?source=whfrt&position=4001&trqid=6523984968505413737&impressionguid=0oIN4m1glQgD4z8uL,1,0,Sun Feb 18 13:53:45 2018
Sports,Daytona 500,NASCAR Daytona 500 2018: Key information for 'The Great…,usatoday.com,https://www.facebook.com/topic/Daytona-500/106231196074269?source=whfrt&position=4002&trqid=6523984968505413737&impressionguid=0oIN4m1glQgD4z8uL,2,0,Sun Feb 18 13:53:45 2018
Sports,Alexander Krushelnitskiy,Russian medalist at Games suspected of doping: source,msn.com,https://www.facebook.com/topic/Alexander-Krushelnitskiy/115040395176915?source=whfrt&position=4003&trqid=6523984968505413737&impressionguid=0oIN4m1glQgD4z8uL,3,0,Sun Feb 18 13:53:45 2018
Sports,Nick Goepper,Nick Goepper goes from contemplating suicide to Olympic…,sports.yahoo.com,https://www.facebook.com/topic/Nick-Goepper/108320679192714?source=whfrt&position=4004&trqid=6523984968505413737&impressionguid=0oIN4m1glQgD4z8uL,4,0,Sun Feb 18 13:53:45 2018
Sports,Eric Hosmer,"Sources: Padres, 1B Eric Hosmer agree to deal",espn.com,https://www.facebook.com/topic/Eric-Hosmer/108110439216353?source=whfrt&position=4005&trqid=6523984968505413737&impressionguid=0oIN4m1glQgD4z8uL,5,0,Sun Feb 18 13:53:45 2018
Sports,Marcel Hirscher,Olympic Men's Alpine Skiing Results 2018: Marcel Hirscher…,bleacherreport.com,https://www.facebook.com/topic/Marcel-Hirscher/107614182595466?source=whfrt&position=4006&trqid=6523984968505413737&impressionguid=0oIN4m1glQgD4z8uL,6,0,Sun Feb 18 13:53:45 2018
Sports,Donovan Mitchell,Donovan Mitchell Wins 2018 NBA Slam Dunk Contest: Full…,bleacherreport.com,https://www.facebook.com/topic/Donovan-Mitchell/107009519335887?source=whfrt&position=4007&trqid=6523984968505413737&impressionguid=0oIN4m1glQgD4z8uL,7,0,Sun Feb 18 13:53:45 2018
