Type,Title,Description,Source,Unique Link,Rank,Scrape Id,Timestamp
Top Trends,West Midlands Ambulance Service,'Move your van' note left on ambulance,bbc.com,https://www.facebook.com/topic/West-Midlands-Ambulance-Service/102654829788990?source=whfrt&position=2&trqid=6523986506129373140&impressionguid=0B42W9JAnCDlYL6RZ,2,2,Sun Feb 18 13:59:43 2018
Top Trends,Stoneman Douglas High School Shooting,Florida students turn to activism in wake of shooting,thehill.com,https://www.facebook.com/topic/Stoneman-Douglas-High-School-Shooting/112670872080304?source=whfrt&position=3&trqid=6523986506129373140&impressionguid=0B42W9JAnCDlYL6RZ,3,2,Sun Feb 18 13:59:43 2018
Top Trends,Donald Trump,Trump Blames Obama and Democrats for Failing to Stop Russian…,nytimes.com,https://www.facebook.com/topic/Donald-Trump/109487239076779?source=whrt&position=4&trqid=6523986518899827520&impressionguid=0B42W9JAnCDlYL6RZ,4,2,Sun Feb 18 13:59:43 2018
Top Trends,Iran Aseman Airlines,"Passenger plane crashes in Iran with 66 aboard, report says",cnn.com,https://www.facebook.com/topic/Iran-Aseman-Airlines/111994085484764?source=whrt&position=5&trqid=6523986518899827520&impressionguid=0B42W9JAnCDlYL6RZ,5,2,Sun Feb 18 13:59:43 2018
Top Trends,Black Panther,"""Black Panther"" Is An Unprecedented Box Office Sensation",buzzfeed.com,https://www.facebook.com/topic/Black-Panther/137025309650379?source=whrt&position=6&trqid=6523986518899827520&impressionguid=0B42W9JAnCDlYL6RZ,6,2,Sun Feb 18 13:59:43 2018
Top Trends,Justin Trudeau,Canadian PM Justin Trudeau visits Indian wildlife sanctuary with family,msn.com,https://www.facebook.com/topic/Justin-Trudeau/109346942417207?source=whrt&position=7&trqid=6523986518899827520&impressionguid=0B42W9JAnCDlYL6RZ,7,2,Sun Feb 18 13:59:43 2018
Top Trends,George Christensen,George Christensen reported to police over gun photo aimed at…,msn.com,https://www.facebook.com/topic/George-Christensen/114776845205424?source=whrt&position=8&trqid=6523986518899827520&impressionguid=0B42W9JAnCDlYL6RZ,8,2,Sun Feb 18 13:59:43 2018
Top Trends,FBI,"Trump blasts FBI over school shooting, says ""too much time"" on…",nbcnews.com,https://www.facebook.com/topic/FBI/109603789065869?source=whrt&position=9&trqid=6523986518899827520&impressionguid=0B42W9JAnCDlYL6RZ,9,2,Sun Feb 18 13:59:43 2018
Top Trends,Ilmārs Rimšēvičs,Latvia's central bank governor Rimsevics detained,in.reuters.com,https://www.facebook.com/topic/Ilm%C4%81rs-Rim%C5%A1%C4%93vi%C4%8Ds/213232888689854?source=whrt&position=10&trqid=6523986518899827520&impressionguid=0B42W9JAnCDlYL6RZ,10,2,Sun Feb 18 13:59:43 2018
Politics,Stoneman Douglas High School Shooting,Florida students turn to activism in wake of shooting,thehill.com,https://www.facebook.com/topic/Stoneman-Douglas-High-School-Shooting/112670872080304?source=whfrt&position=1001&trqid=6523986510536307636&impressionguid=0SCg7cYTLexjfipJG,1,2,Sun Feb 18 13:59:44 2018
Politics,Donald Trump,Trump Blames Obama and Democrats for Failing to Stop Russian…,nytimes.com,https://www.facebook.com/topic/Donald-Trump/109487239076779?source=whfrt&position=1002&trqid=6523986510536307636&impressionguid=0SCg7cYTLexjfipJG,2,2,Sun Feb 18 13:59:44 2018
Politics,Justin Trudeau,Canadian PM Justin Trudeau visits Indian wildlife sanctuary with family,msn.com,https://www.facebook.com/topic/Justin-Trudeau/109346942417207?source=whfrt&position=1003&trqid=6523986510536307636&impressionguid=0SCg7cYTLexjfipJG,3,2,Sun Feb 18 13:59:44 2018
Politics,George Christensen,George Christensen reported to police over gun photo aimed at…,msn.com,https://www.facebook.com/topic/George-Christensen/114776845205424?source=whfrt&position=1004&trqid=6523986510536307636&impressionguid=0SCg7cYTLexjfipJG,4,2,Sun Feb 18 13:59:44 2018
Politics,FBI,"Trump blasts FBI over school shooting, says ""too much time"" on…",nbcnews.com,https://www.facebook.com/topic/FBI/109603789065869?source=whfrt&position=1005&trqid=6523986510536307636&impressionguid=0SCg7cYTLexjfipJG,5,2,Sun Feb 18 13:59:44 2018
