type,title,description,source,uniqueLink,rank,scrapeId,timestamp
Top Trends,SpaceX,SpaceX delays its satellite internet launch to February 21st,engadget.com,https://www.facebook.com/topic/SpaceX/105652159469464?source=whfrt&position=1&trqid=6524124089768334937&impressionguid=0DiM2T6xpccxOi7YW,1,0,Sun Feb 18 22:53:35 2018
Top Trends,University of Warwick,"New test can detect autism in children, scientists say",theguardian.com,https://www.facebook.com/topic/University-of-Warwick/107409362622135?source=whfrt&position=2&trqid=6524124089768334937&impressionguid=0DiM2T6xpccxOi7YW,2,0,Sun Feb 18 22:53:35 2018
Top Trends,Fergie,Fergie's national anthem at NBA All-Star Game draws laughs,foxnews.com,https://www.facebook.com/topic/Fergie/112777845400857?source=whfrt&position=3&trqid=6524124089768334937&impressionguid=0DiM2T6xpccxOi7YW,3,0,Sun Feb 18 22:53:35 2018
Top Trends,Benjamin Netanyahu,Netanyahu blasts media 'witch hunt' as police announce new investigation,cnn.com,https://www.facebook.com/topic/Benjamin-Netanyahu/113945371948914?source=whrt&position=4&trqid=6524124102617270641&impressionguid=0DiM2T6xpccxOi7YW,4,0,Sun Feb 18 22:53:35 2018
Top Trends,"Parkland, Florida",Accused Florida shooter was 'a monster living under our roof',indystar.com,https://www.facebook.com/topic/Parkland-Florida/115228851825532?source=whrt&position=5&trqid=6524124102617270641&impressionguid=0DiM2T6xpccxOi7YW,5,0,Sun Feb 18 22:53:35 2018
Top Trends,Marco Rubio,"Democrats, Rubio want 'red flags' to enable gun seizures",msn.com,https://www.facebook.com/topic/Marco-Rubio/105988062765295?source=whrt&position=6&trqid=6524124102617270641&impressionguid=0DiM2T6xpccxOi7YW,6,0,Sun Feb 18 22:53:35 2018
Top Trends,Stoneman Douglas High School Shooting,Florida students to march on Washington in call for gun reform,msn.com,https://www.facebook.com/topic/Stoneman-Douglas-High-School-Shooting/112670872080304?source=whrt&position=7&trqid=6524124102617270641&impressionguid=0DiM2T6xpccxOi7YW,7,0,Sun Feb 18 22:53:35 2018
Top Trends,Rick Gates,Gates agrees to testify against Manafort in Mueller probe: report,thehill.com,https://www.facebook.com/topic/Rick-Gates/103377626382267?source=whrt&position=8&trqid=6524124102617270641&impressionguid=0DiM2T6xpccxOi7YW,8,0,Sun Feb 18 22:53:35 2018
Top Trends,John Kasich,Pro-gun section scrubbed from Gov. John Kasich's website,cleveland.com,https://www.facebook.com/topic/John-Kasich/105584962809474?source=whrt&position=9&trqid=6524124102617270641&impressionguid=0DiM2T6xpccxOi7YW,9,0,Sun Feb 18 22:53:35 2018
Top Trends,Carnival Legend,23 passengers removed from cruise ship after brawls,cnn.com,https://www.facebook.com/topic/Carnival-Legend/141920532496424?source=whrt&position=10&trqid=6524124102617270641&impressionguid=0DiM2T6xpccxOi7YW,10,0,Sun Feb 18 22:53:35 2018
